4.2485952530311536e-11	2.748633071493473e-11	1.9933152615433552e-11	1.4489637656267186e-11	8.307734081836825e-12	4.025018635268834e-12	1.664837297925043e-12	6.417896609989505e-13	2.2960111453711405e-13	1.184675614957458e-12
4.254324366193415e-11	2.7524025142903195e-11	1.996091513122322e-11	1.4510111957062386e-11	8.319718478077042e-12	4.0309386558358685e-12	1.667307857143274e-12	6.427476386457521e-13	2.299447767628723e-13	1.1864484060095069e-12
4.2600617356269476e-11	2.7561717022502152e-11	1.998872210029336e-11	1.4530651397894286e-11	8.331737275023608e-12	4.0368793389868306e-12	1.6697874179929125e-12	6.437092337996443e-13	2.302895219763839e-13	1.1882260175284019e-12
4.2658121798027645e-11	2.7599579003806575e-11	2.0016672891463012e-11	1.4551259696568832e-11	8.343808650531685e-12	4.042846915151821e-12	1.672278398506129e-12	6.446755270003796e-13	2.306362086678996e-13	1.1900135565101557e-12
4.271520754336952e-11	2.7637166510601092e-11	2.0044358675299665e-11	1.4571726962017423e-11	8.35580615081772e-12	4.048783470779568e-12	1.674757310034562e-12	6.456371472599754e-13	2.309810444909619e-13	1.191792154032713e-12
4.2772246689310196e-11	2.7674736680145798e-11	2.00720773287622e-11	1.4592241272260695e-11	8.367829405335043e-12	4.054733916127821e-12	1.6772426217686692e-12	6.466015701784588e-13	2.313271292709353e-13	1.1935760961115342e-12
4.282945944129137e-11	2.771241694036018e-11	2.0099905498588204e-11	1.461283009613055e-11	8.379898868681201e-12	4.060712018874445e-12	1.67974029737871e-12	6.47570490601097e-13	2.3167465124702467e-13	1.1953682329644887e-12
4.2886183025418575e-11	2.7749855269465208e-11	2.0127557202343808e-11	1.463325540212183e-11	8.391903029591979e-12	4.066661495100522e-12	1.682226711568602e-12	6.485356140846222e-13	2.3202088546392437e-13	1.197154235466383e-12
4.2943004281418804e-11	2.7787332471838242e-11	2.0155239503593537e-11	1.465373774661003e-11	8.403950708945505e-12	4.072631518635409e-12	1.6847220480807543e-12	6.495040674095163e-13	2.323684029434984e-13	1.1989463493926697e-12
4.299999956340505e-11	2.7824974192769682e-11	2.018303216195433e-11	1.467433780211863e-11	8.416047714769558e-12	4.078634671829847e-12	1.6872316587249412e-12	6.504785162277893e-13	2.3271806543506343e-13	1.2007455279662034e-12
4.305633721471651e-11	2.786217687635079e-11	2.0210591393962182e-11	1.469472480117878e-11	8.42804744338789e-12	4.084592256329191e-12	1.6897232647998281e-12	6.514459352966611e-13	2.33065152777832e-13	1.2025370126162485e-12
4.3112846127689314e-11	2.789951757308162e-11	2.0238238470658314e-11	1.47152320109116e-11	8.44010988456035e-12	4.090583570360936e-12	1.6922291154197743e-12	6.524191861222286e-13	2.33414589527926e-13	1.2043361302268463e-12
4.316943494006855e-11	2.7936921646022707e-11	2.0265900949337954e-11	1.473573758040536e-11	8.45219730525534e-12	4.096592684716193e-12	1.6947436581963857e-12	6.533959030230099e-13	2.3376494924374905e-13	1.2061448373973324e-12
